28,乳糖,シャリオミルクx1,遠心分離機,難易度/進行度：15/4で成功。,「種別：食料」。重量：１。メジャーアクション。自身の[疲労状態]を回復する。ミルクから精製した糖。素朴な甘みが口に広がり、お菓子の素材などにも使われる。
29,粉ミルク,"シャリオミルクx2
ぷにぷに玉x1",乳鉢、ランプ,難易度/進行度：15/6で成功。,「種別：錬金術」。重量：１。粉末状のミルク。
30,ヨーグルト,シャリオミルク×2	,遠心分離機,難易度/進行度：15/6で成功。,「種別：食料」。重量：１。レベル１。酸味の強いヨーグルト。フルーツなどと混ぜ合わせると美味しい。
31,カステラ,"魔法の草x2
ハチミツx2
粉ミルクx2",乳鉢、ランプ,難易度/進行度：20/6で成功。,「種別：食料」。重量：１。メジャーアクション。HP回復とMP回復を行う。自身のHP、MPを[6D]点回復する。しっとりとした美味しいカステラ。
32,LV2うに,"LV1うにx2
栄養剤x1
中和剤（緑）x1",,難易度/進行度：20/4で成功。,種別:うに/レベル:2/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+10する。
33,ロウ,"ハチの巣×1
燃える砂×1
中和剤（緑）×1",遠心分離機,難易度/進行度：40/6で成功。,「種別：錬金術」。重量：１。ロウ。気化して燃える。
34,シャリオチーズ,シャリオミルク×2	,遠心分離機、ろ過器,難易度/進行度：20/4で成功。,「種別：食料」。重量：１。ミルクを発酵させて作ったチーズ。独特の香りがする。祝福のワインに合う。
35,栄養剤,"蒸留水x2
オニワライタケx2
中和剤（青）x1",ろ過器,難易度/進行度：20/8で成功。,「種別：ポーション」。重量：１。マイナーアクション、メジャーアクション。自身のMPを[4D]回復する。調合によって精製された栄養剤。使用者の疲労をとるだけでなく、様々な調合の素材として用いられる。
36,フラム,"燃える砂×2
ロウ×1",トンカチ,難易度/進行度：60/8で成功。,「種別：武器」。重量：１。武器。攻撃力+20、射程：効果参照。投射のみ可能（射程：範囲）。パッシブ。この武器によるダメージは火属性魔法ダメージとなる。
37,ガッシュの木炭,"ガッシュの枝×1
燃える砂×1
中和剤（赤）×1        ",ランプ,難易度/進行度：40/6で成功。,「種別：錬金術」。重量：２。ガッシュの枝を炭にしたもの。
38,アルテナの水,"蒸留水×3
ハウレン草×1
中和剤（緑）×1        ",ろ過器、乳鉢,難易度/進行度：40/6で成功。,「種別：ポーション」。重量：３。マイナーアクション、メジャーアクション。武器攻撃の対象が「種別：アンデッド、魔族、魔獣、妖魔」であった場合、そのダメージに[+3D]する。この効果はシーン終了まで持続する。調合によって極限まで浄化した水。聖水に似た特性を持っている。
39,カボ芋のポタージュ,カボ芋x2,片手鍋,難易度/進行度：20/4で成功。,「種別：食料」。重量：３。美味しい。
40,しびれ薬,"ぷにぷに玉×1
ヤドクタケ×2
中和剤（緑）×1",乳鉢,難易度/進行度：30/6で成功。,「種別：道具」。重量：１。メジャーアクション。20m以内の単体に難易度12の【敏捷】判定を行わせる。失敗した場合、[スタン]を与える。消耗品。
41,LV3うに,"ＬＶ２うに×2
栄養剤×1
中和剤（緑）×1",,難易度/進行度：30/6で成功。,種別:うに/レベル:3/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+30する。
42,影縫い針,"うに×1
しびれ薬×2
塩×1
中和剤（緑）×1	",ルーペ,難易度/進行度：60/8で成功。,「種別：道具」。重量：１。セットアッププロセス。20m以内の単体に難易度18の【敏捷】判定を行わせる。失敗した場合、対象の【行動値】に-10する。消耗品。
43,ミスティカティ,"ミスティカの葉×1
ガッシュの木炭×2
蒸留水×3
中和剤（青）×2	",ろ過器,難易度/進行度：50/4で成功。,「種別：食料」。メジャー。MP回復を行う。使用者のMPを[20D]回復する。ミスティカの葉を漉して作ったお茶。ほのかな渋みと葉の香りが鼻を抜ける。
44,チーズケーキ（錬金術）,"カステラ×2
シャリオチーズ×2
ヨーグルト×1
乳糖×1        ",乳鉢、片手鍋,難易度/進行度：30/6で成功。,「種別：食料」。重量：１。レベル１。錬金術で作成したまあまあの味のチーズケーキ。口の中にチーズの香りと酸味、そして甘みが広がる。十分に美味しいが...？
45,チーズケーキ（真）,"カステラ×2.3
シャリオチーズ×2.6
ヨーグルト×1.8
乳糖×2.4",乳鉢、片手鍋,難易度/進行度：30/6で成功。,「種別：食料」。重量：１。レベル１。錬金術で調合したチーズケーキ。口の中にチーズの香りと酸味、そして甘みが広がる。名店のチーズケーキを超える味に仕上がっており、味にうるさいあの子も満足してくれそう。
46,結界石,"砂丘の砂×2
浄化炭×4
フェスト×2
研磨剤×1        ",乳鉢、ランプ,難易度/進行度：70/6->80/4で成功。,「種別：道具」。重量：３。ダメージロール直後。所持者は《プロテクション》を使用する。覚えている必要がなく、コストも消費しない。
47,砂丘の砂,,,購買で購入(500G)。,「種別：錬金術」。重量：５。砂丘でとれた砂。粒子が細かく一つ一つが丸い。触ると気持ちいい。
48,浄化炭,"ガッシュの木炭x2
塩x1
中和剤（青）x1",ランプ、ふいご,難易度/進行度：70/4で成功。,「種別：錬金術」。重量：１。中和剤を用いて浄化した木炭。あらゆる毒素を浄化すると言われている。
49,研磨剤,フェストx1,乳鉢,難易度/進行度：20/6で成功。,「種別：錬金術」。重量：１。研磨剤。
50,フェスト,,,洞窟でとれる。,「種別：錬金術」。重量：１。石…岩？なんかよく分からない鉱物。剥がれやすいので要注意。
51,グラビ結晶,"グラビ石×4
蒸留水×2
中和剤（青）×1        ",乳鉢、ろ過器,難易度/進行度：80/6で成功。,「種別：道具」。重量：２。セットアッププロセス。行動値増加を行う。使用者の行動値を[+2D]する。この効果はラウンド終了まで持続する。
52,熱風の布袋,"燃える砂×2
国宝虫の糸×3
中和剤（赤）×1        ",細工道具,難易度/進行度：100/6->120/2で成功。,「種別：道具」。重量：３。自身のいるエンゲージにトラップ「灼熱地獄」（EXB p145）を設置する。また、このアイテムの効果で設置された「灼熱地獄」は「レベル：０」となる。消耗品。
53,LV4うに,"LV3うに×2
栄養剤×1
中和剤（緑）×1",,難易度/進行度：100/6で成功。,種別:うに/レベル:4/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+50する。
54,千年亀のこうら,"シャリオチーズ×3
ロウ×2
祝福のワイン×2
中和剤（緑）×1	",ランプ、乳鉢,難易度/進行度：150/6で成功。,「種別：錬金術」。重量：５。千年亀アクーパーラの甲羅を模した甲羅。素材に食べ物を使っているが、食べることはできない。
55,アルテナの傷薬,"アルテナの水×2
シャリオ油×3
栄養剤×2
中和剤（緑）×1        ",遠心分離機、ガラス器具,難易度/進行度：150/6で成功。,「種別：ポーション」。重量：３。マイナーアクション、メジャーアクション。このアイテムの使用時に、以下の効果のいずれかから1つ選択して適用する。【効果１】自身の受けている任意のバッドステータスを回復する。【効果２】HP回復、MP回復を行う。自身のHP、MPを[16D]回復する。【効果３】自身の受けている持続しているスキルやアイテムの効果を1つ選択して解除する。
56,LV5うに,"LV4うに×2
栄養剤×1
中和剤（緑）×1",アタノール,難易度/進行度：120/6で成功。,種別:うに/レベル:5/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+100する。
57,逃げ足の靴,"グラビ結晶×4
四つ葉の詰め草×1
中和剤（緑）×2",トンカチ,難易度/進行度：90/6->100/4で成功。,"「種別：防具」。レベル18。重量5。回避修正+2。物理防御力+3。魔法防御力+1。移動修正+4。補助防具。価格：68000。鑑定値25。
パッシブ。装備者はエネミースキル《逃走》（PEG p23）を取得する。また、このアイテムの効果で取得した《逃走》のコストは20とし、効果に「ただしGMは《逃走》の使用を認めなくても良い」を追加する。"
58,つむじ袋,"熱風の布袋×2
雨雲の石×1
中和剤（赤）×1",細工道具,難易度/進行度：100/6->120/4で成功。,「種別：道具」。重量：３。マイナーアクション、メジャーアクション。自身のいるエンゲージにトラップ「強風」（R2 p289）を設置する。このアイテムの効果で設置した「強風」は「レベル：０」となる。このトラップはシーン終了時に消滅する。消耗品。
59,LV6うに,"LV6うに×2
栄養剤×1
中和剤（緑）×1",アタノール,難易度/進行度：120/8->150/4->160/4で成功。,種別:うに/レベル:6/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+150する。
60,千年亀のお守り,"千年亀のこうら×1
ムッシェル×2
祝福のワイン×1
中和剤（緑）×1        ",ランプ、天秤,難易度/進行度：120/8->150/4->160/4で成功。,「種別：装身具」。重量：8。レベル30。購入不可。鑑定値28。自身が1点でもHPダメージを受けたときに使用する。自身の【物理防御力】【魔法防御力】を+5する。この効果は3回まで重複し、シーン終了まで持続する。
61,LV7うに,"LV7うに×2
栄養剤×1
中和剤（緑）×1",アタノール,難易度/進行度：180/6->200/6で成功。,種別:うに/レベル:7/重量:1/命中修正:0/攻撃力:5/行動修正:0/射程:効果参照/このアイテムは投射のみ可能で、装備していなくても投射できる。この武器による射撃攻撃のダメージは〈地〉属性の魔法ダメージとなり、そのダメージに+200する。
99,ラストエリクサー,"ミスティカティ×2
アルテナの傷薬×2
ガッシュの木炭×3
中和剤（青）×3        ",遠心分離機、天秤,難易度/進行度：200/10->250/8で成功。,「種別：ポーション」。マイナーアクション、メジャーアクション。シーン内の場面（選択）のHP・MPを9999点回復し、受けているバッドステータスをすべて回復する。消耗品。
63,レジエン石,,,洞窟でとれる。,「種別：錬金術」。重量：３。鉄みたいに硬くて冷たい、金属のように見える石。 枕にしてみたら冷たくて気持ちよかったけど、 首が痛くなってしまった。
64,雨雲の石,"レジエン石x1
研磨剤x1",細工道具,難易度/進行度：100/6で成功。,「種別：道具」。重量：１。マイナーアクション、メジャーアクション。シーン内の場面にトラップ「冷たい雨」を設置する。このアイテムの効果で設置した「冷たい雨」は「レベル：0」となる。このトラップはシーン終了時に消滅する。消耗品。
65,君しか見えない,"魅了の粉×3
しびれ薬×1
中和剤（青）×1	",乳鉢、ガラス器具,難易度：70/6で成功。,「種別：ポーション」。重量：２。メジャーアクションで至近の単体に使用する。対象は【精神】判定を行う。その判定に失敗した場合、対象はこのアイテムの使用者に惚れる。判定の難易度はGMが決定し、またこの効果の適用や解除のタイミングも任意に決定してよい。
66,魅了の粉,ローレライの鱗×1	,乳鉢,難易度：40/6で成功。,「種別：錬金術」。重量：２。相手を魅了させることができる粉末。ただ服用するだけでは大きな効果はない。
67,ローレライの鱗,,,いけすでとれる。,「種別：錬金術」。重量：１。ローレライの鱗。催眠作用があり、様々な薬品の素材として用いられる。
68,レヘルン,"樹氷石x1
研磨剤x1
きよ水x1",トンカチ,難易度/進行度：60/8で成功。,「種別：武器」。重量：１。武器。攻撃力+20、射程：効果参照。投射のみ可能（射程：範囲）。パッシブ。この武器によるダメージは水/光属性魔法ダメージとなる。
69,樹氷石,,,洞窟でとれる。,「種別：錬金術」。重量：１。樹氷の一部が削り落ちたように見える石。非常に冷たく、常温でも溶けにくい。
70,ウツボカヅラ,,,旧校舎裏の林でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
71,向日葵,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
72,スミレ,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
73,ラベンダー,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
74,水仙,,,洞窟でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
75,薔薇,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
76,勿忘草,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
77,百合,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
78,鈴蘭,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
79,カスミソウ,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
80,アネモネ,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
81,カーネーション,,,農園でとれる。,「種別：贈り物」。重量：１。お花。プレゼントに喜ばれる。
82,クロム水晶,,,洞窟でとれる。,「種別：錬金術」。重量：１。半透明に光る、六角形をした水晶。アクセサリーとして一部の女子生徒に流行の兆しが見えつつある。
83,黒色鋼,"レジエン石x1
獣の牙x1
きよ水x1",トンカチ,難易度/進行度：40/8で成功。,「種別：錬金術」。重量：１。黒色に輝く鉄鋼。錬金術で調合する金属の基本で、多くの装備品の調合で使用される。
84,獣の牙,,,「コボルト」のドロップアイテム。,「種別：錬金術」。重量：１。ごく一般的な肉食獣の牙。大きさはまちまちだが、その歯先はどれも同じように鋭くとがっている。
85,アイスリング,"樹氷石x2
クロム水晶x2
研磨剤x1
黒色鋼x1",トンカチ、細工道具,難易度/進行度：60/8で成功。,「種別：装身具」。重量：２。レベル20、価格80000G。装備者が受ける水属性ダメージに[-10]、光属性ダメージに[-10]する。氷の魔石がついた指輪。儚き氷気をまとう。
86,保存液,"ハウレン草x1
きよ水x4
花（何でも良い）x1",遠心分離機、ろ過器,難易度/進行度：40/6で成功。,「種別：錬金術」。重量：１。人体に全く影響を与えない、奇跡のような保存液。それでもやっぱり使うのがためらわれる。
87,樹氷結晶,"樹氷石x1
保存液x1
トラウトx1",遠心分離機、ふいご,難易度/進行度：60/8で成功。,「種別：錬金術」。重量：１。樹氷石から冷却成分だけを抽出した結晶。強力な冷気を放つため、使いすぎるとしもやけになることも。
88,トラウト,,,いけすでとれる。,「種別：錬金術」。重量：２。マスノスケの成長した魚。見た目はそのままに重さが増している。相変わらずフレッシュな外見のままだ。
89,レヘレヘルンルン,"樹氷結晶x1
レヘルンx2
アイスリングx1",細工道具、ルーペ,難易度/進行度：100/8で成功。,「種別：武器」。重量：１。武器。攻撃力+40、射程：効果参照。投射のみ可能。パッシブ。この武器によるダメージは水/光属性魔法ダメージとなる。対象は十字範囲となる。
90,苦ぶどう,,,農園でとれる。,「種別：錬金術」。重量：１。強烈に苦いぶどう。加工しないと食べられたものではないが、真の食通は極上の食感を求めて生で食べる。
91,ランドー,,,農園でとれる。,「種別：錬金術」。重量：１。ほんのりあまずっぱい味わいが世代を超えて人気の、赤い果物。実を付けてから熟すまでの時間がとても短い。
92,フルーツ120%,"苦ぶどうx2
ランドーx2
シャリオミルクx2",ろ過器,難易度/進行度：30/6で成功。,「種別：食料」。重量：１。メジャーアクション。至近の単体の戦闘不能を回復し、HPを[2D]点にする。果物を丸絞りして、ミルクを加えて濃縮した、ドロドロに濃い飲料。
93,テラフラム,"カノーネ結晶x2
フラムx2
フレイムリングx1",細工道具、ルーペ,難易度/進行度：100/8で成功。,「種別：武器」。重量：１。武器。攻撃力+40、射程：効果参照。投射のみ可能。パッシブ。この武器によるダメージは火属性魔法ダメージとなる。対象は十字範囲となる。
94,カノーネ結晶,"カノーネ岩x1
保存液x1
魔物の骨x1",遠心分離機、ふいご,難易度/進行度：60/8で成功。,「種別：錬金術」。重量：１。樹氷石から冷却成分だけを抽出した結晶。強力な冷気を放つため、使いすぎるとしもやけになることも。
95,魔物の骨,,,「コボルト」のドロップアイテム。,「種別：錬金術」。重量：１。奇妙な形をした魔物の骨。骨になってもまがまがしい瘴気を放ち、他の魔物を惹き付けるとされる。
96,フレイムリング,"カノーネ岩x2
クロム水晶x2
研磨剤x1
黒色鋼x1",細工道具、ルーペ,難易度/進行度：100/8で成功。,「種別：装身具」。重量：２。レベル20、価格80000G。装備者が受ける火属性魔法ダメージに[-15]する。炎の魔石がついた指輪。猛き炎気をまとう。
97,フォーチュンリング,"白色鋼x2
アポロンの大音叉x1
グラビ石x2",ルーペ,難易度/進行度：90/6で成功。,「種別：道具」。重量：３。レベル10。価格8888G。パッシブ。所持者の行う【幸運】判定の達成値に+1する。旅の安全を願う旅人たちに愛用されている、３つのリングが複雑に絡み合って作られたお守り。
98,白色鋼,"エレミア銀鉱石x3
黒色鋼x1
液体金属x1",トンカチ,難易度/進行度：50/6で成功。,「種別：錬金術」。重量：１。風の力が込められた、白色に輝く魔法の鉄鋼。空気のような軽さと、鉄の強度を併せ持つ秀逸な金属。
99,エレミア銀鉱石,,,洞窟でとれる。,「種別：錬金術」。重量：１。マナの力を蓄えた、白く輝く鉱石。魔法の媒体として利用するほか、武器防具の材料としても秀逸。
100,アポロン大音叉,"黒色鋼x2
クロム水晶x2
喚雷針x1",天秤,難易度/進行度：80/6で成功。,「種別：錬金術」。重量：１。音楽家の巨匠、サー・アポロンが自ら振り鳴らしたとされる音叉の模型。心地よい振動は肩こりによく効く。
101,喚雷針,"レジエン石x3
研磨剤x2",ランプ,難易度：40/6で成功。,「種別：錬金術」。重量：１。避雷針の仕組みから完成した、逆に雷を発生させてしまう針。
102,ぷにぷに,,,「ぷに」系のドロップアイテム,「種別：錬金術」。重量：１。ぷにぷにしている何か。
103,ぷにの核,,,「ジェノサイドぷに」のドロップアイテム,「種別：錬金術」。重量：１。ぷにの凝縮した核。心臓のような役割を果たしているらしいが詳細は不明。
104,ぷにの大核仁,,,強力な「ぷに」のドロップアイテム,「種別：錬金術」。重量：１。ぷにの凝縮した巨大な核。柔軟性と硬度を合わせ持っており、強力な錬金素材として高価で取引される。
105,ぷにの帽子,"ぷにぷにx3
ぷにの核x2
ぷにの大核仁x1
中和剤（赤）x2",,難易度/進行度：100/8で成功。,オリジナルアイテム参照。
106,ぷにの服,"ぷにぷにx3
ぷにの核x2
ぷにの大核仁x1
中和剤（青）x2",,難易度/進行度：100/8で成功。,オリジナルアイテム参照。
107,ぷにの靴,"ぷにぷにx3
ぷにの核x2
ぷにの大核仁x1
中和剤（緑）x2",,難易度/進行度：100/8で成功。,オリジナルアイテム参照。
